Brand Name,Generic Name (Salt),Strength,Dosage Form,Company Name,MRP (INR),Pack Size,Uses,Category
Rabeprazole SR 24,Rabeprazole,20 mg,Gel,Intas Pharmaceuticals Ltd,23.0,Tube of 30 gm,Acidity and reflux disease,Acidity Regulator
Montelukast 250 25,Montelukast,10 mg,Drops,Mankind Pharma Ltd,40.0,Bottle of 15 ml,Asthma and allergic rhinitis,Respiratory
Levofloxacin Plus 26,Levofloxacin,1000 IU,Gel,Cadila Pharmaceuticals Ltd,41.0,Tube of 10 gm,Bacterial infections including pneumonia and sinusitis,Antibiotic
Doxycycline Forte 27,Doxycycline,5 mg,Tablet,Biocon Ltd,10.0,Strip of 10,Various bacterial infections including acne and respiratory infections,Antibiotic
Amlodipine Plus 28,Amlodipine,250 mg,Capsule,Abbott India Ltd,40.5,Strip of 20,High blood pressure and angina,Blood Pressure Regulator
Tramadol DS 29,Tramadol,10 mg,Gel,Jubilant Pharmova Ltd,21.0,Tube of 30 gm,Moderate to severe pain,Painkiller
Losartan Plus 30,Losartan,100 mg/5 ml,Gel,Alkem Laboratories Ltd,17.0,Tube of 30 gm,High blood pressure and heart failure,Blood Pressure Regulator
Ofloxacin 31,Ofloxacin,100 mg/5 ml,Cream,Cadila Pharmaceuticals Ltd,30.0,Tube of 10 gm,Bacterial infections of urinary and respiratory tract,Antibiotic
Azithromycin Forte 32,Azithromycin,150 mg,Cream,Lupin Ltd,19.5,Tube of 30 gm,Bacterial infections including respiratory and skin infections,Antibiotic
Rabeprazole XR 33,Rabeprazole,20 mg,Cream,Intas Pharmaceuticals Ltd,13.5,Tube of 10 gm,Acidity and reflux disease,Acidity Regulator
Iron SR 34,Iron Fumarate,650 mg,Drops,Cipla Ltd,107.5,Bottle of 5 ml,Iron deficiency anemia,Supplement
Alprazolam XR 35,Alprazolam,20 mg,Oral Suspension,Alembic Pharmaceuticals Ltd,27.0,Bottle of 200 ml,Anxiety and panic disorders,Anxiolytic
Azithromycin 250 36,Azithromycin,20 mg/5 ml,Syrup,Sun Pharmaceutical Industries Ltd,21.5,Bottle of 200 ml,Bacterial infections including respiratory and skin infections,Antibiotic
Atenolol Forte 37,Atenolol,400 IU,Cream,Torrent Pharmaceuticals Ltd,14.5,Tube of 10 gm,High blood pressure and chest pain,Blood Pressure Regulator
Budesonide 38,Budesonide,250 mg,Drops,Abbott India Ltd,32.5,Bottle of 10 ml,Asthma and inflammatory bowel disease,Respiratory
Glimipiride SR 39,Glimipiride,20 mg,Drops,Cipla Ltd,17.0,Bottle of 5 ml,Type 2 diabetes mellitus,Antidiabetic
Metformin 250 40,Metformin,500 mg,Inhaler,Zydus Lifesciences Ltd,108.0,Inhaler of 100 doses,Type 2 diabetes mellitus,Antidiabetic
Budesonide Plus 41,Budesonide,250 mg,Inhaler,Micro Labs Ltd,102.0,Inhaler of 120 doses,Asthma and inflammatory bowel disease,Respiratory
Telmisartan Max 42,Telmisartan,150 mg,Oral Suspension,Zydus Lifesciences Ltd,37.5,Bottle of 150 ml,Hypertension and cardiovascular risk reduction,Blood Pressure Regulator
Insulin XR 43,Insulin Glargine,500 mg,Ointment,Sun Pharmaceutical Industries Ltd,58.0,Tube of 10 gm,Long-acting insulin for diabetes mellitus,Antidiabetic
Metformin Max 44,Metformin,10 mg,Drops,Ipca Laboratories Ltd,18.5,Bottle of 10 ml,Type 2 diabetes mellitus,Antidiabetic
Metformin DS 45,Metformin,200 mg,Oral Suspension,Mankind Pharma Ltd,26.0,Bottle of 150 ml,Type 2 diabetes mellitus,Antidiabetic
B-complex Max 46,B-complex,100 mg,Drops,Jubilant Pharmova Ltd,57.5,Bottle of 5 ml,Vitamin B deficiency and weakness,Supplement
Rabeprazole SR 47,Rabeprazole,650 mg,Injection,Lupin Ltd,113.5,Vial of 5 ml,Acidity and reflux disease,Acidity Regulator
Formoterol Max 48,Formoterol,150 mg,Oral Suspension,Alkem Laboratories Ltd,41.5,Bottle of 150 ml,Asthma and COPD,Respiratory
Azithromycin 49,Azithromycin,100 mg/5 ml,Capsule,Intas Pharmaceuticals Ltd,15.0,Strip of 15,Bacterial infections including respiratory and skin infections,Antibiotic
Hydroxychloroquine SR 50,Hydroxychloroquine,20 mg,Injection,Cadila Pharmaceuticals Ltd,65.5,Vial of 1 ml,Rheumatoid arthritis and malaria,Anti-inflammatory / Antimalarial
Omeprazole 51,Omeprazole,50 mg,Capsule,Jubilant Pharmova Ltd,40.0,Strip of 15,"Acidity, peptic ulcer and GERD",Acidity Regulator
Calcium 500 52,Calcium Carbonate,250 mg,Syrup,Mankind Pharma Ltd,75.0,Bottle of 60 ml,Calcium deficiency and bone disorders,Supplement
Ofloxacin 500 53,Ofloxacin,5 mg,Oral Suspension,Lupin Ltd,34.5,Bottle of 200 ml,Bacterial infections of urinary and respiratory tract,Antibiotic
B-complex DS 54,B-complex,5 mg,Syrup,Glenmark Pharmaceuticals Ltd,37.0,Bottle of 60 ml,Vitamin B deficiency and weakness,Supplement
Levocetirizine Max 55,Levocetirizine,100 mg/5 ml,Ointment,Zydus Lifesciences Ltd,18.5,Tube of 10 gm,Allergic rhinitis and urticaria,Antiallergic
Ciprofloxacin Forte 56,Ciprofloxacin,400 IU,Tablet,Zydus Lifesciences Ltd,26.5,Strip of 30,Urinary tract and gastrointestinal infections,Antibiotic
Ofloxacin 57,Ofloxacin,5 mg,Injection,Zydus Lifesciences Ltd,63.0,Vial of 10 ml,Bacterial infections of urinary and respiratory tract,Antibiotic
Doxycycline 500 58,Doxycycline,500 mg,Injection,Intas Pharmaceuticals Ltd,186.0,Vial of 10 ml,Various bacterial infections including acne and respiratory infections,Antibiotic
Sertraline Plus 59,Sertraline,150 mg,Drops,Sun Pharmaceutical Industries Ltd,55.5,Bottle of 10 ml,Depression and anxiety disorders,Antidepressant
Levocetirizine Plus 60,Levocetirizine,40 mg,Inhaler,Cipla Ltd,60.0,Inhaler of 120 doses,Allergic rhinitis and urticaria,Antiallergic
Risperidone SR 61,Risperidone,100 mg/5 ml,Ointment,Micro Labs Ltd,17.5,Tube of 15 gm,Schizophrenia and behavioral disorders,Antipsychotic
Telmisartan SR 62,Telmisartan,100 mg/5 ml,Tablet,Sun Pharmaceutical Industries Ltd,43.0,Strip of 15,Hypertension and cardiovascular risk reduction,Blood Pressure Regulator
Levofloxacin Advance 63,Levofloxacin,500 mg,Cream,Abbott India Ltd,44.0,Tube of 10 gm,Bacterial infections including pneumonia and sinusitis,Antibiotic
Risperidone 250 64,Risperidone,1000 IU,Injection,Mankind Pharma Ltd,139.0,Vial of 5 ml,Schizophrenia and behavioral disorders,Antipsychotic
Clotrimazole 250 65,Clotrimazole,10 mg,Syrup,Alembic Pharmaceuticals Ltd,32.0,Bottle of 100 ml,Fungal skin infections,Antifungal
B-complex SR 66,B-complex,75 mg,Inhaler,Sanofi India Ltd,107.5,Inhaler of 120 doses,Vitamin B deficiency and weakness,Supplement
Atenolol Advance 67,Atenolol,100 mg/5 ml,Oral Suspension,Biocon Ltd,47.0,Bottle of 200 ml,High blood pressure and chest pain,Blood Pressure Regulator
Iron XR 68,Iron Fumarate,10 mg,Gel,Ipca Laboratories Ltd,22.0,Tube of 15 gm,Iron deficiency anemia,Supplement
Tramadol Advance 69,Tramadol,75 mg,Capsule,Ipca Laboratories Ltd,25.0,Strip of 15,Moderate to severe pain,Painkiller
Sertraline DS 70,Sertraline,5 mg,Injection,Alkem Laboratories Ltd,31.0,Vial of 2 ml,Depression and anxiety disorders,Antidepressant
Insulin 250 71,Insulin Aspart,500 mg,Inhaler,Cadila Pharmaceuticals Ltd,223.0,Inhaler of 100 doses,Rapid-acting insulin for diabetes mellitus,Antidiabetic
Olanzapine Forte 72,Olanzapine,400 IU,Cream,Sanofi India Ltd,12.0,Tube of 10 gm,Schizophrenia and bipolar disorder,Antipsychotic
Alprazolam DS 73,Alprazolam,100 mg/5 ml,Capsule,Zydus Lifesciences Ltd,39.0,Strip of 30,Anxiety and panic disorders,Anxiolytic
Azithromycin XR 74,Azithromycin,5 mg,Drops,Lupin Ltd,18.5,Bottle of 10 ml,Bacterial infections including respiratory and skin infections,Antibiotic
Tramadol Advance 75,Tramadol,150 mg,Drops,Cadila Pharmaceuticals Ltd,53.0,Bottle of 15 ml,Moderate to severe pain,Painkiller
Calcium XR 76,Calcium Carbonate,250 mg/5 ml,Drops,Glenmark Pharmaceuticals Ltd,52.5,Bottle of 5 ml,Calcium deficiency and bone disorders,Supplement
Hydroxychloroquine Forte 77,Hydroxychloroquine,1000 IU,Injection,Wockhardt Ltd,131.0,Vial of 1 ml,Rheumatoid arthritis and malaria,Anti-inflammatory / Antimalarial
Olanzapine 500 78,Olanzapine,5 mg,Injection,Intas Pharmaceuticals Ltd,46.0,Vial of 1 ml,Schizophrenia and bipolar disorder,Antipsychotic
Rabeprazole DS 79,Rabeprazole,5 mg,Syrup,Sanofi India Ltd,32.5,Bottle of 60 ml,Acidity and reflux disease,Acidity Regulator
Vitamin XR 80,Vitamin D3,150 mg,Cream,Jubilant Pharmova Ltd,24.5,Tube of 15 gm,Vitamin D deficiency and bone health,Supplement
Vitamin 250 81,Vitamin D3,100 mg,Cream,Biocon Ltd,25.5,Tube of 20 gm,Vitamin D deficiency and bone health,Supplement
Clopidogrel SR 82,Clopidogrel,100 mg/5 ml,Cream,Jubilant Pharmova Ltd,33.0,Tube of 15 gm,Prevention of blood clots and stroke,Blood Thinner
Gliclazide XR 83,Gliclazide,40 mg,Oral Suspension,Alembic Pharmaceuticals Ltd,15.5,Bottle of 150 ml,Type 2 diabetes mellitus,Antidiabetic
Tramadol DS 84,Tramadol,20 mg,Cream,Cadila Pharmaceuticals Ltd,24.5,Tube of 10 gm,Moderate to severe pain,Painkiller
Folic 250 85,Folic Acid,100 mg,Inhaler,Dr. Reddy's Laboratories Ltd,55.0,Inhaler of 200 doses,Folic acid deficiency and pregnancy support,Supplement
Levocetirizine 500 86,Levocetirizine,40 mg,Tablet,Sanofi India Ltd,14.0,Strip of 20,Allergic rhinitis and urticaria,Antiallergic
Doxycycline Max 87,Doxycycline,40 mg,Cream,Alembic Pharmaceuticals Ltd,22.5,Tube of 30 gm,Various bacterial infections including acne and respiratory infections,Antibiotic
Amoxicillin Forte 88,Amoxicillin,250 mg,Drops,Pfizer Ltd,62.5,Bottle of 15 ml,"Bacterial infections of respiratory tract, ear, nose and throat",Antibiotic
Cefixime 89,Cefixime,5 mg,Tablet,Alkem Laboratories Ltd,22.5,Strip of 15,Bacterial infections including urinary tract and respiratory infections,Antibiotic
Rabeprazole Forte 90,Rabeprazole,650 mg,Gel,Biocon Ltd,51.0,Tube of 20 gm,Acidity and reflux disease,Acidity Regulator
Levofloxacin Max 91,Levofloxacin,650 mg,Syrup,Glenmark Pharmaceuticals Ltd,53.0,Bottle of 60 ml,Bacterial infections including pneumonia and sinusitis,Antibiotic
Clopidogrel Forte 92,Clopidogrel,20 mg/5 ml,Inhaler,Sanofi India Ltd,34.0,Inhaler of 100 doses,Prevention of blood clots and stroke,Blood Thinner
Pantoprazole 93,Pantoprazole,650 mg,Injection,Biocon Ltd,142.0,Vial of 10 ml,"Acidity, heartburn and gastroesophageal reflux disease (GERD)",Acidity Regulator
Tramadol 500 94,Tramadol,500 mg,Ointment,Ipca Laboratories Ltd,30.5,Tube of 30 gm,Moderate to severe pain,Painkiller
Gliclazide XR 95,Gliclazide,100 mg/5 ml,Capsule,Pfizer Ltd,36.0,Strip of 30,Type 2 diabetes mellitus,Antidiabetic
Levocetirizine SR 96,Levocetirizine,40 mg,Drops,Micro Labs Ltd,34.5,Bottle of 10 ml,Allergic rhinitis and urticaria,Antiallergic
Calcium Forte 97,Calcium Carbonate,40 mg,Inhaler,Abbott India Ltd,71.5,Inhaler of 60 doses,Calcium deficiency and bone disorders,Supplement
Metoprolol Advance 98,Metoprolol,5 mg,Gel,Cadila Pharmaceuticals Ltd,19.0,Tube of 30 gm,"Hypertension, angina and heart failure",Blood Pressure Regulator
Doxycycline DS 99,Doxycycline,400 IU,Tablet,Abbott India Ltd,20.0,Strip of 20,Various bacterial infections including acne and respiratory infections,Antibiotic
Telmisartan Max 100,Telmisartan,40 mg,Ointment,Micro Labs Ltd,18.5,Tube of 15 gm,Hypertension and cardiovascular risk reduction,Blood Pressure Regulator
Atorvastatin SR 101,Atorvastatin,100 mg/5 ml,Oral Suspension,Wockhardt Ltd,51.0,Bottle of 200 ml,High cholesterol and prevention of cardiovascular disease,Cholesterol Regulator
Nimesulide Plus 102,Nimesulide,250 mg/5 ml,Gel,Sun Pharmaceutical Industries Ltd,29.0,Tube of 30 gm,Pain and inflammation,General Use
Fluoxetine 500 103,Fluoxetine,75 mg,Oral Suspension,Biocon Ltd,40.0,Bottle of 150 ml,"Depression, OCD and bulimia nervosa",Antidepressant
Calcium XR 104,Calcium Carbonate,150 mg,Drops,Pfizer Ltd,32.5,Bottle of 10 ml,Calcium deficiency and bone disorders,Supplement
Amlodipine Plus 105,Amlodipine,10 mg,Capsule,Abbott India Ltd,25.0,Strip of 15,High blood pressure and angina,Blood Pressure Regulator
Cetirizine Advance 106,Cetirizine,400 IU,Oral Suspension,Intas Pharmaceuticals Ltd,39.5,Bottle of 150 ml,Allergic conditions and sneezing,Antiallergic
Pantoprazole 500 107,Pantoprazole,75 mg,Oral Suspension,Zydus Lifesciences Ltd,29.0,Bottle of 60 ml,"Acidity, heartburn and gastroesophageal reflux disease (GERD)",Acidity Regulator
Olanzapine 108,Olanzapine,50 mg,Drops,Intas Pharmaceuticals Ltd,59.0,Bottle of 15 ml,Schizophrenia and bipolar disorder,Antipsychotic
Atenolol 109,Atenolol,400 IU,Syrup,Lupin Ltd,29.5,Bottle of 200 ml,High blood pressure and chest pain,Blood Pressure Regulator
Insulin 110,Insulin Aspart,150 mg,Gel,Glenmark Pharmaceuticals Ltd,20.5,Tube of 30 gm,Rapid-acting insulin for diabetes mellitus,Antidiabetic
Omeprazole Plus 111,Omeprazole,20 mg/5 ml,Capsule,Wockhardt Ltd,21.5,Strip of 10,"Acidity, peptic ulcer and GERD",Acidity Regulator
Diclofenac Forte 112,Diclofenac,75 mg,Syrup,Dr. Reddy's Laboratories Ltd,27.0,Bottle of 200 ml,Pain and inflammation in arthritis and musculoskeletal conditions,Painkiller
Formoterol 250 113,Formoterol,5 mg,Inhaler,Ipca Laboratories Ltd,52.5,Inhaler of 200 doses,Asthma and COPD,Respiratory
Clopidogrel Advance 114,Clopidogrel,100 mg/5 ml,Inhaler,Mankind Pharma Ltd,91.5,Inhaler of 60 doses,Prevention of blood clots and stroke,Blood Thinner
Alprazolam Plus 115,Alprazolam,10 mg,Oral Suspension,Intas Pharmaceuticals Ltd,19.0,Bottle of 100 ml,Anxiety and panic disorders,Anxiolytic
Clotrimazole 250 116,Clotrimazole,20 mg,Capsule,Sun Pharmaceutical Industries Ltd,19.0,Strip of 30,Fungal skin infections,Antifungal
Atenolol Max 117,Atenolol,5 mg,Tablet,Mankind Pharma Ltd,24.0,Strip of 30,High blood pressure and chest pain,Blood Pressure Regulator
Metformin Forte 118,Metformin,40 mg,Oral Suspension,Biocon Ltd,25.5,Bottle of 100 ml,Type 2 diabetes mellitus,Antidiabetic
Nimesulide Plus 119,Nimesulide,40 mg,Syrup,Torrent Pharmaceuticals Ltd,16.5,Bottle of 150 ml,Pain and inflammation,General Use
Formoterol Plus 120,Formoterol,75 mg,Inhaler,Cadila Pharmaceuticals Ltd,80.0,Inhaler of 120 doses,Asthma and COPD,Respiratory
Fluoxetine SR 121,Fluoxetine,40 mg,Cream,Ipca Laboratories Ltd,17.5,Tube of 10 gm,"Depression, OCD and bulimia nervosa",Antidepressant
Formoterol Advance 122,Formoterol,100 mg/5 ml,Tablet,Abbott India Ltd,22.5,Strip of 10,Asthma and COPD,Respiratory
Amlodipine Advance 123,Amlodipine,100 mg,Inhaler,Intas Pharmaceuticals Ltd,48.0,Inhaler of 100 doses,High blood pressure and angina,Blood Pressure Regulator
Insulin DS 124,Insulin Aspart,250 mg/5 ml,Drops,Intas Pharmaceuticals Ltd,80.0,Bottle of 10 ml,Rapid-acting insulin for diabetes mellitus,Antidiabetic
Hydroxychloroquine 500 125,Hydroxychloroquine,500 mg,Gel,Wockhardt Ltd,48.5,Tube of 20 gm,Rheumatoid arthritis and malaria,Anti-inflammatory / Antimalarial
Tramadol 250 126,Tramadol,20 mg,Capsule,Abbott India Ltd,24.0,Strip of 20,Moderate to severe pain,Painkiller
Tramadol Plus 127,Tramadol,250 mg,Cream,Cadila Pharmaceuticals Ltd,29.5,Tube of 20 gm,Moderate to severe pain,Painkiller
Omeprazole SR 128,Omeprazole,1000 IU,Cream,Sun Pharmaceutical Industries Ltd,51.0,Tube of 10 gm,"Acidity, peptic ulcer and GERD",Acidity Regulator
Cetirizine XR 129,Cetirizine,200 mg,Drops,Micro Labs Ltd,30.5,Bottle of 5 ml,Allergic conditions and sneezing,Antiallergic
Montelukast XR 130,Montelukast,50 mg,Injection,Mankind Pharma Ltd,111.0,Vial of 10 ml,Asthma and allergic rhinitis,Respiratory
Omeprazole Max 131,Omeprazole,5 mg,Tablet,Glenmark Pharmaceuticals Ltd,21.0,Strip of 30,"Acidity, peptic ulcer and GERD",Acidity Regulator
Atorvastatin Plus 132,Atorvastatin,650 mg,Oral Suspension,Cadila Pharmaceuticals Ltd,93.5,Bottle of 100 ml,High cholesterol and prevention of cardiovascular disease,Cholesterol Regulator
Gliclazide 250 133,Gliclazide,1000 IU,Injection,Intas Pharmaceuticals Ltd,215.0,Vial of 10 ml,Type 2 diabetes mellitus,Antidiabetic
Losartan Forte 134,Losartan,50 mg,Gel,Sanofi India Ltd,35.5,Tube of 15 gm,High blood pressure and heart failure,Blood Pressure Regulator
Metformin SR 135,Metformin,100 mg/5 ml,Injection,Abbott India Ltd,65.0,Vial of 1 ml,Type 2 diabetes mellitus,Antidiabetic
Atenolol XR 136,Atenolol,400 IU,Injection,Torrent Pharmaceuticals Ltd,57.0,Vial of 5 ml,High blood pressure and chest pain,Blood Pressure Regulator
Doxycycline 500 137,Doxycycline,20 mg/5 ml,Drops,Cadila Pharmaceuticals Ltd,36.5,Bottle of 15 ml,Various bacterial infections including acne and respiratory infections,Antibiotic
Losartan 250 138,Losartan,20 mg/5 ml,Inhaler,Zydus Lifesciences Ltd,32.0,Inhaler of 200 doses,High blood pressure and heart failure,Blood Pressure Regulator
Olanzapine XR 139,Olanzapine,20 mg/5 ml,Cream,Torrent Pharmaceuticals Ltd,24.5,Tube of 15 gm,Schizophrenia and bipolar disorder,Antipsychotic
Glimipiride XR 140,Glimipiride,150 mg,Inhaler,Lupin Ltd,52.5,Inhaler of 200 doses,Type 2 diabetes mellitus,Antidiabetic
Paracetamol Plus 141,Paracetamol,100 mg/5 ml,Syrup,Torrent Pharmaceuticals Ltd,40.0,Bottle of 150 ml,Fever and mild to moderate pain relief,Painkiller
Doxycycline 500 142,Doxycycline,20 mg/5 ml,Inhaler,Dr. Reddy's Laboratories Ltd,72.5,Inhaler of 200 doses,Various bacterial infections including acne and respiratory infections,Antibiotic
Aspirin Plus 143,Aspirin,250 mg,Gel,Micro Labs Ltd,27.0,Tube of 20 gm,Pain relief and prevention of heart attack and stroke,Painkiller / Blood Thinner
Amlodipine Plus 144,Amlodipine,100 mg/5 ml,Capsule,Lupin Ltd,28.5,Strip of 20,High blood pressure and angina,Blood Pressure Regulator
Amoxicillin Max 145,Amoxicillin,150 mg,Tablet,Cipla Ltd,26.0,Strip of 30,"Bacterial infections of respiratory tract, ear, nose and throat",Antibiotic
Diclofenac Advance 146,Diclofenac,1000 IU,Oral Suspension,Alembic Pharmaceuticals Ltd,96.0,Bottle of 100 ml,Pain and inflammation in arthritis and musculoskeletal conditions,Painkiller
Ibuprofen 250 147,Ibuprofen,500 mg,Syrup,Micro Labs Ltd,91.5,Bottle of 100 ml,"Pain, inflammation and fever",Painkiller
Gliclazide XR 148,Gliclazide,50 mg,Inhaler,Zydus Lifesciences Ltd,93.0,Inhaler of 200 doses,Type 2 diabetes mellitus,Antidiabetic
Telmisartan SR 149,Telmisartan,250 mg/5 ml,Tablet,Mankind Pharma Ltd,26.5,Strip of 30,Hypertension and cardiovascular risk reduction,Blood Pressure Regulator
Ofloxacin Max 150,Ofloxacin,75 mg,Inhaler,Alembic Pharmaceuticals Ltd,79.5,Inhaler of 120 doses,Bacterial infections of urinary and respiratory tract,Antibiotic
Cetirizine Forte 151,Cetirizine,400 IU,Cream,Lupin Ltd,15.5,Tube of 20 gm,Allergic conditions and sneezing,Antiallergic
Salbutamol 250 152,Salbutamol,75 mg,Injection,Sun Pharmaceutical Industries Ltd,65.5,Vial of 1 ml,Asthma and bronchospasm,Respiratory
Formoterol Advance 153,Formoterol,75 mg,Gel,Zydus Lifesciences Ltd,33.0,Tube of 15 gm,Asthma and COPD,Respiratory
Hydroxychloroquine Plus 154,Hydroxychloroquine,40 mg,Oral Suspension,Torrent Pharmaceuticals Ltd,37.5,Bottle of 60 ml,Rheumatoid arthritis and malaria,Anti-inflammatory / Antimalarial
Clopidogrel 500 155,Clopidogrel,250 mg,Gel,Biocon Ltd,42.0,Tube of 10 gm,Prevention of blood clots and stroke,Blood Thinner
Atenolol Forte 156,Atenolol,100 mg/5 ml,Ointment,Glenmark Pharmaceuticals Ltd,18.0,Tube of 20 gm,High blood pressure and chest pain,Blood Pressure Regulator
Thyroxine Max 157,Thyroxine,40 mg,Drops,Glenmark Pharmaceuticals Ltd,38.0,Bottle of 10 ml,Hypothyroidism,Hormone Regulator
Atenolol Plus 158,Atenolol,650 mg,Ointment,Cadila Pharmaceuticals Ltd,36.5,Tube of 15 gm,High blood pressure and chest pain,Blood Pressure Regulator
Sertraline 250 159,Sertraline,200 mg,Cream,Dr. Reddy's Laboratories Ltd,10.0,Tube of 10 gm,Depression and anxiety disorders,Antidepressant
Insulin 250 160,Insulin Glargine,40 mg,Ointment,Biocon Ltd,22.5,Tube of 20 gm,Long-acting insulin for diabetes mellitus,Antidiabetic
Pantoprazole Advance 161,Pantoprazole,400 IU,Oral Suspension,Sun Pharmaceutical Industries Ltd,37.0,Bottle of 150 ml,"Acidity, heartburn and gastroesophageal reflux disease (GERD)",Acidity Regulator
B-complex Max 162,B-complex,500 mg,Oral Suspension,Cadila Pharmaceuticals Ltd,93.5,Bottle of 60 ml,Vitamin B deficiency and weakness,Supplement
Rabeprazole XR 163,Rabeprazole,250 mg,Tablet,Mankind Pharma Ltd,24.5,Strip of 15,Acidity and reflux disease,Acidity Regulator
Fluconazole 500 164,Fluconazole,20 mg/5 ml,Syrup,Cadila Pharmaceuticals Ltd,32.0,Bottle of 200 ml,Fungal infections,Antifungal
Budesonide XR 165,Budesonide,100 mg/5 ml,Syrup,Lupin Ltd,45.5,Bottle of 150 ml,Asthma and inflammatory bowel disease,Respiratory
Cefixime XR 166,Cefixime,10 mg,Ointment,Cadila Pharmaceuticals Ltd,24.5,Tube of 20 gm,Bacterial infections including urinary tract and respiratory infections,Antibiotic
Pantoprazole 250 167,Pantoprazole,200 mg,Ointment,Cipla Ltd,14.0,Tube of 10 gm,"Acidity, heartburn and gastroesophageal reflux disease (GERD)",Acidity Regulator
Insulin 168,Insulin Glargine,10 mg,Capsule,Micro Labs Ltd,11.0,Strip of 20,Long-acting insulin for diabetes mellitus,Antidiabetic
Losartan SR 169,Losartan,10 mg,Syrup,Dr. Reddy's Laboratories Ltd,20.0,Bottle of 100 ml,High blood pressure and heart failure,Blood Pressure Regulator
Amlodipine 170,Amlodipine,50 mg,Ointment,Micro Labs Ltd,21.0,Tube of 15 gm,High blood pressure and angina,Blood Pressure Regulator
Rabeprazole Plus 171,Rabeprazole,40 mg,Drops,Glenmark Pharmaceuticals Ltd,31.5,Bottle of 5 ml,Acidity and reflux disease,Acidity Regulator
Rabeprazole Advance 172,Rabeprazole,200 mg,Tablet,Zydus Lifesciences Ltd,16.5,Strip of 15,Acidity and reflux disease,Acidity Regulator
